model,method,r,beta,batch_size,final_tokens,latency_ms_mean,latency_ms_std,latency_ms_median,latency_ms_trimmed_mean,latency_ms_trimmed_std,latency_ms_p10,latency_ms_p25,latency_ms_p50,latency_ms_p75,latency_ms_p90,latency_ms_min,latency_ms_max,outlier_count,throughput_mean,throughput_median,throughput_trimmed_mean,speedup_trimmed_vs_full,latency_ms_all
deit_small_patch16_224,full_patched,0,0.0,64,197,20.43205240249634,0.283416908331546,20.279109954833984,20.340357398986814,0.12288402124301777,20.21813690185547,20.243848037719726,20.279109954833984,20.568035125732422,20.92307189941406,20.123452758789064,21.321469116210938,2,3132.3333916362035,3155.9570485362524,3146.454054105654,1.0,"[20.78059539794922, 21.014968872070312, 20.987782287597657, 20.360243225097655, 20.58613739013672, 20.887957763671874, 21.04540100097656, 21.05175018310547, 20.985382080078125, 21.321469116210938, 21.092439270019533, 20.9638916015625, 20.83814392089844, 20.203826904296875, 20.273301696777345, 20.22282257080078, 20.218368530273438, 20.163533020019532, 20.243916320800782, 20.277996826171876, 20.20966339111328, 20.764671325683594, 20.491455078125, 20.562001037597657, 20.410978698730467, 20.704811096191406, 20.311177062988282, 20.722532653808592, 20.61127624511719, 20.390609741210938, 20.79938507080078, 20.502528381347656, 20.51025848388672, 20.392140197753907, 20.46319580078125, 20.41246795654297, 20.764910888671874, 20.918536376953124, 20.67388458251953, 20.241151428222658, 20.322550964355468, 20.239666748046876, 20.278219604492186, 20.22563781738281, 20.123452758789064, 20.18488311767578, 20.255641174316406, 20.21605224609375, 20.224461364746094, 20.264959716796874, 20.23846893310547, 20.270335388183593, 20.271298217773438, 20.30172119140625, 20.294297790527345, 20.215586853027343, 20.271002197265624, 20.271002197265624, 20.250714111328126, 20.292556762695312, 20.263308715820312, 20.280000305175783, 20.257945251464843, 20.29767608642578, 20.231219482421874, 20.22522888183594, 20.226969909667968, 20.16536865234375, 20.274534606933592, 20.270074462890626, 20.314727783203125, 20.250762939453125, 20.288409423828124, 20.2651123046875, 20.24364318847656, 20.273049926757814, 20.230143737792968, 20.24627227783203, 20.310057067871092, 20.259614562988283]"
deit_small_patch16_224,tome,4,0.0,64,149,20.34408805847168,0.045728329854351914,20.35219802856445,20.349169476826987,0.018273028913006254,20.280321197509767,20.322397232055664,20.35219802856445,20.373989868164063,20.398904876708986,20.191783142089843,20.424960327148437,2,3145.8770634523053,3144.6234903068234,3145.0915022788154,0.9995669563885541,"[20.351473999023437, 20.367564392089843, 20.215852355957033, 20.405555725097656, 20.353126525878906, 20.266326904296875, 20.370314025878905, 20.354513549804686, 20.342630004882814, 20.401858520507812, 20.28282470703125, 20.397502136230468, 20.276205444335936, 20.337049865722655, 20.328175354003907, 20.252964782714844, 20.339759826660156, 20.35527648925781, 20.362188720703124, 20.34082946777344, 20.330479431152344, 20.31824951171875, 20.356294250488283, 20.3590576171875, 20.33167419433594, 20.262860107421876, 20.253945922851564, 20.360140991210937, 20.320716857910156, 20.310169982910157, 20.367462158203125, 20.374681091308595, 20.398899841308594, 20.39244842529297, 20.320599365234376, 20.333363342285157, 20.32404479980469, 20.36495361328125, 20.393011474609374, 20.329156494140626, 20.424960327148437, 20.358297729492186, 20.313139343261717, 20.351231384277344, 20.37964782714844, 20.373759460449218, 20.400985717773438, 20.191783142089843, 20.330027770996093, 20.374714660644532, 20.345242309570313, 20.346102905273437, 20.368435668945313, 20.325222778320313, 20.32054901123047, 20.3989501953125, 20.356915283203126, 20.330960083007813, 20.290765380859376, 20.3720703125, 20.38190155029297, 20.369357299804687, 20.394393920898438, 20.348410034179686, 20.331614685058593, 20.37647399902344, 20.403097534179686, 20.36812744140625, 20.414874267578124, 20.253933715820313, 20.322857666015626, 20.385997009277343, 20.315031433105467, 20.321015930175783, 20.28077850341797, 20.40965118408203, 20.3810302734375, 20.36065216064453, 20.35292205810547, 20.29696044921875]"
deit_small_patch16_224,ours,4,0.0,64,149,21.17045160293579,0.13553344621488142,21.1202751159668,21.13278595606486,0.045396240923541435,21.063367004394532,21.08082847595215,21.1202751159668,21.196210098266604,21.391144409179688,20.98903045654297,21.591905212402345,10,3023.0814722499767,3030.263557107568,3028.4696079852524,0.9625024093498363,"[21.074069213867187, 21.14319305419922, 21.142620849609376, 20.98903045654297, 21.110418701171874, 21.063731384277343, 21.0640380859375, 21.270835876464844, 21.224089050292967, 21.172889709472656, 21.10028839111328, 21.19720458984375, 21.244825744628905, 21.165773010253908, 21.17442626953125, 21.075656127929687, 21.160429382324217, 21.363661193847655, 21.267916870117187, 21.064703369140624, 21.069619750976564, 21.039768981933594, 21.088050842285156, 21.1086669921875, 21.10222625732422, 21.127200317382812, 21.173855590820313, 21.131353759765624, 21.030027770996092, 21.19393310546875, 21.012428283691406, 21.060087585449217, 21.16802520751953, 21.082264709472657, 21.095884704589842, 21.051589965820312, 21.02143096923828, 21.107968139648438, 21.133721923828126, 21.19587860107422, 21.064909362792967, 21.093568420410158, 21.104620361328124, 21.170994567871094, 21.120765686035156, 21.102178955078124, 21.152610778808594, 21.07499542236328, 21.127833557128906, 21.088870239257812, 21.038490295410156, 21.114163208007813, 21.119784545898437, 21.113548278808594, 21.073561096191405, 21.065110778808595, 21.10740509033203, 21.151795959472658, 21.098597717285156, 21.073202514648436, 21.098342895507812, 21.076519775390626, 21.39006805419922, 21.524630737304687, 21.27984619140625, 21.10424041748047, 21.383576965332033, 21.433804321289063, 21.300735473632812, 21.151544189453126, 21.422029113769533, 21.52074279785156, 21.344256591796874, 21.090457153320312, 21.57091827392578, 21.411891174316406, 21.400831604003905, 21.148057556152345, 21.591905212402345, 21.270938110351562]"
deit_small_patch16_224,tome,8,0.0,64,101,18.272998027801513,0.38293939370642943,18.293862152099607,18.307002321879068,0.1784293445447304,17.74604293823242,18.007474899291992,18.293862152099607,18.529747772216794,18.659834289550783,17.107395935058594,19.154483032226562,1,3502.435665052171,3498.441142055651,3495.9300749917047,1.1110697994874696,"[17.989273071289062, 17.6859130859375, 17.56549072265625, 17.701722717285158, 18.360972595214843, 18.274508666992187, 18.52891387939453, 18.539875793457032, 18.231280517578124, 17.881640625, 18.38929901123047, 18.453125, 18.455296325683594, 19.154483032226562, 18.463436889648438, 17.898495483398438, 18.640382385253908, 18.486221313476562, 17.94739227294922, 18.704988098144533, 18.476185607910157, 17.437576293945312, 18.1798828125, 18.708476257324218, 18.3657470703125, 17.107395935058594, 17.43516845703125, 18.350601196289062, 17.95399627685547, 18.769151306152345, 18.405580139160158, 18.134938049316407, 17.91066131591797, 17.954508972167968, 18.537831115722657, 17.83531494140625, 18.247219848632813, 18.294169616699218, 18.532249450683594, 18.553855895996094, 18.502891540527344, 18.654817199707033, 18.506752014160156, 18.81354217529297, 17.913754272460938, 18.23307647705078, 18.550067138671874, 18.946856689453124, 18.622618103027342, 18.575257873535158, 17.660826110839842, 18.096824645996094, 18.019378662109375, 18.11634063720703, 18.995968627929688, 18.268975830078126, 17.943341064453126, 18.638775634765626, 18.196734619140624, 17.75096740722656, 18.654669189453124, 18.285414123535155, 18.2935546875, 18.462258911132814, 18.430157470703126, 18.2227783203125, 18.186495971679687, 18.224620056152343, 18.41802215576172, 18.283724975585937, 18.468045043945313, 18.86919708251953, 18.4427001953125, 18.52349395751953, 18.27532501220703, 18.01354217529297, 17.944783020019532, 18.16243133544922, 18.57848358154297, 17.549156188964844]"
deit_small_patch16_224,ours,8,0.035,64,101,20.628778076171876,0.3255051630354197,20.66777572631836,20.660102526346844,0.17652717421488923,20.23923583984375,20.385177230834962,20.66777572631836,20.872432327270506,20.99916946411133,19.591671752929688,21.250355529785157,1,3102.461995745926,3096.608016628628,3097.758102525573,0.9845235459527718,"[20.559820556640624, 20.645474243164063, 20.630169677734376, 20.847563171386717, 20.594932556152344, 20.926617431640626, 20.3725830078125, 21.087826538085938, 20.818022155761717, 20.59740447998047, 20.45628967285156, 19.869491577148438, 20.33509979248047, 21.250355529785157, 21.22108612060547, 20.705126953125, 20.7009765625, 21.00959930419922, 20.834187316894532, 20.373654174804688, 20.969728088378908, 20.542874145507813, 20.813618469238282, 20.763534545898438, 20.833424377441407, 20.261990356445313, 20.575640869140624, 20.536944580078124, 20.852786254882812, 20.73369598388672, 20.95856628417969, 20.536575317382812, 19.976715087890625, 20.41333770751953, 20.348979187011718, 20.57011260986328, 20.86835174560547, 20.664370727539062, 20.878215026855468, 20.867005920410158, 20.822015380859376, 20.8848388671875, 20.671180725097656, 20.92999725341797, 20.870504760742186, 21.020109558105467, 20.245143127441406, 20.77898712158203, 20.923799133300783, 20.473805236816407, 20.591410827636718, 20.99891357421875, 20.389018249511718, 20.813261413574217, 19.591671752929688, 20.04746856689453, 20.310218811035156, 20.317900085449217, 20.389479064941405, 20.86656036376953, 21.00147247314453, 20.603855895996094, 20.884542846679686, 20.186070251464844, 20.684115600585937, 20.43292999267578, 20.915557861328125, 20.293426513671875, 20.56407012939453, 20.916070556640626, 20.318360900878908, 21.09537353515625, 21.01222381591797, 20.13404235839844, 20.77801513671875, 20.9398681640625, 20.269517517089845, 20.171775817871094, 20.087442016601564, 20.27448272705078]"
deit_small_patch16_224,tome,12,0.0,64,53,18.88516031265259,0.4054141141885356,18.87013473510742,18.89713430404663,0.21570361122208206,18.323551177978516,18.595038223266602,18.87013473510742,19.217741775512692,19.387677459716798,18.022245788574217,19.703602600097657,0,3388.9042475917763,3391.6027044009165,3386.7569002933446,1.0763725902414278,"[19.56316223144531, 19.304087829589843, 18.866893005371093, 19.0192138671875, 19.269090270996095, 18.916505432128908, 19.413362121582033, 18.627122497558595, 18.952250671386718, 18.975796508789063, 18.985745239257813, 19.218589782714844, 18.84221496582031, 18.358169555664062, 18.301832580566405, 18.48765411376953, 18.56807861328125, 19.358668518066406, 18.462457275390626, 19.186483764648436, 19.205746459960938, 19.066009521484375, 19.125503540039062, 19.601560974121092, 19.12944641113281, 19.15740966796875, 19.703602600097657, 19.28150634765625, 18.553036499023438, 19.028378295898438, 18.781695556640624, 19.078912353515626, 18.859519958496094, 19.384823608398438, 18.590814208984376, 18.596446228027343, 19.540428161621094, 18.607632446289063, 18.239283752441406, 18.66649627685547, 18.84355773925781, 18.166732788085938, 18.022245788574217, 18.83396759033203, 19.47125701904297, 18.66748046875, 19.240089416503906, 19.339532470703126, 19.371961975097655, 19.465252685546876, 18.879335021972658, 18.366526794433593, 18.382745361328126, 18.96007080078125, 18.871244812011717, 18.999705505371093, 19.294290161132814, 18.686003112792967, 18.201206970214844, 18.853182983398437, 18.65313262939453, 18.527581787109376, 18.28818359375, 18.25017852783203, 18.08128662109375, 18.32596435546875, 19.324693298339845, 18.869024658203124, 18.751795959472656, 19.50786590576172, 19.017323303222657, 18.638955688476564, 18.761590576171876, 18.460528564453124, 18.821876525878906, 18.410374450683594, 18.7863037109375, 19.21745910644531, 19.026226806640626, 19.300457763671876]"
deit_small_patch16_224,ours,12,0.05,64,53,21.48816728591919,0.49606844681214757,21.449153900146484,21.451074473063148,0.12507644436161633,21.088208618164064,21.245275115966795,21.449153900146484,21.61967353820801,21.781154327392578,20.494322204589842,24.63544464111328,3,2978.3833655249905,2983.8006803411913,2983.533532568124,0.9482209119421455,"[21.226393127441405, 21.707192993164064, 21.133517456054687, 24.63544464111328, 23.258009338378905, 21.490432739257812, 21.577113342285156, 21.529032897949218, 21.473606872558594, 21.642034912109374, 21.57127685546875, 21.255731201171876, 21.563336181640626, 21.58618927001953, 21.642640686035158, 21.444181823730467, 21.41511688232422, 21.211628723144532, 21.500927734375, 21.089884948730468, 21.090625, 21.4541259765625, 21.845486450195313, 21.97857208251953, 21.619302368164064, 21.597030639648438, 21.41905975341797, 21.568771362304688, 21.211550903320312, 21.415480041503905, 21.659500122070312, 21.218917846679688, 22.063015747070313, 21.361773681640624, 21.702857971191406, 21.963058471679688, 21.57511749267578, 21.073121643066408, 21.48479766845703, 21.775785827636717, 20.82960205078125, 21.33808135986328, 21.113139343261718, 21.33739471435547, 21.775450134277342, 21.230189514160156, 21.346884155273436, 21.415782165527343, 21.388456726074217, 21.625875854492186, 21.250303649902342, 21.481710815429686, 21.367091369628906, 21.829470825195312, 21.37537078857422, 21.468722534179687, 21.185125732421874, 21.375897216796876, 21.667831420898438, 21.071257019042967, 21.033175659179687, 20.82012176513672, 21.141514587402344, 20.494322204589842, 21.432217407226563, 21.372166442871094, 21.064703369140624, 21.58779296875, 21.8788818359375, 21.327667236328125, 21.588172912597656, 21.645632934570312, 21.660365295410156, 21.385517883300782, 21.215948486328124, 21.502259826660158, 21.620787048339842, 20.791961669921875, 21.38904571533203, 21.595846557617186]"
deit_small_patch16_224,tome,16,0.0,64,11,19.259809265136717,0.24755208741304244,19.24316329956055,19.241456158955895,0.11592900302161557,18.952283630371095,19.05911178588867,19.24316329956055,19.40624656677246,19.578380126953125,18.69266357421875,19.906509399414062,0,3322.9820253646053,3325.8565134902506,3326.151590154539,1.0571111266711193,"[19.16938171386719, 19.887872314453126, 19.24500732421875, 19.001644897460938, 19.381675720214844, 19.241319274902345, 19.232469177246095, 19.39690704345703, 19.435565185546874, 19.272125244140625, 19.062393188476562, 19.550260925292967, 19.293118286132813, 19.358665466308594, 19.17438201904297, 19.57769317626953, 19.040957641601562, 19.20762939453125, 19.411967468261718, 18.94799346923828, 19.024691772460937, 18.93945770263672, 18.905058288574217, 19.045123291015624, 19.226617431640626, 19.796002197265626, 19.028274536132812, 18.95531768798828, 18.934947204589843, 19.037440490722656, 19.492776489257814, 19.169740295410158, 19.002178955078126, 19.114788818359376, 19.336396789550783, 19.20343017578125, 19.404339599609376, 19.527667236328124, 19.55952606201172, 19.584562683105467, 19.28206024169922, 19.494793701171876, 18.875698852539063, 18.69266357421875, 19.03022155761719, 18.926739501953126, 19.298355102539062, 19.298919677734375, 19.146531677246095, 19.422119140625, 19.331890869140626, 19.906509399414062, 19.350267028808595, 19.594598388671876, 19.062681579589842, 18.894834899902342, 19.184999084472658, 19.166925048828126, 18.97697296142578, 19.488423156738282, 19.624652099609374, 19.304179382324218, 19.115878295898437, 19.707904052734374, 19.39624938964844, 19.30132293701172, 19.31129608154297, 18.952760314941408, 19.162725830078124, 19.159397888183594, 19.167085266113283, 19.43445587158203, 19.736186218261718, 19.21593780517578, 19.29728546142578, 19.30323486328125, 19.2606201171875, 19.575961303710937, 19.104768371582033, 19.049267578125]"
deit_small_patch16_224,ours,16,0.015,64,11,21.894200782775876,0.5893641259963864,21.723619842529295,21.769715245564782,0.2103683566792564,21.30501953125,21.51997604370117,21.723619842529295,22.144550704956053,22.6893212890625,21.18372802734375,24.20736083984375,4,2923.148491921599,2946.1020061999225,2939.8639016667403,0.9343419135043958,"[22.348899841308594, 22.02485809326172, 22.143644714355467, 21.693632507324217, 21.478656005859374, 22.90390625, 23.14582977294922, 22.8316162109375, 22.627174377441406, 22.382591247558594, 22.598370361328126, 22.848358154296875, 22.6735107421875, 22.14726867675781, 21.583258056640624, 21.824673461914063, 21.488742065429687, 21.195733642578126, 21.213555908203126, 21.688084411621094, 21.633132934570312, 21.353575134277342, 21.18372802734375, 21.212677001953125, 21.22101745605469, 21.77771453857422, 21.908326721191408, 21.330690002441408, 22.284298706054688, 21.741310119628906, 21.574038696289062, 22.036883544921874, 21.70628662109375, 21.60374298095703, 21.655654907226562, 21.88764190673828, 21.491307067871094, 21.740953063964845, 21.62561950683594, 21.630870056152343, 22.024703979492188, 21.685108947753907, 22.028932189941408, 21.302720642089845, 21.254861450195314, 21.305274963378906, 21.691104125976562, 21.543841552734374, 21.840657043457032, 21.877098083496094, 21.41491241455078, 22.3297119140625, 22.16925506591797, 21.492640686035156, 22.32007751464844, 22.4929931640625, 21.93273162841797, 21.688629150390625, 22.2181884765625, 21.91217498779297, 21.52997741699219, 21.41290283203125, 21.82958068847656, 22.984190368652342, 21.64648895263672, 21.785804748535156, 21.4403076171875, 21.3739013671875, 21.768284606933594, 21.812223815917967, 21.529087829589844, 23.736483764648437, 21.529856872558593, 24.20736083984375, 23.255914306640626, 21.64875030517578, 21.290249633789063, 21.74521484375, 21.645396423339843, 21.396633911132813]"
deit_small_patch16_224,tome,20,0.0,64,4,19.531698341369626,0.2720115136560751,19.548563385009764,19.53345047632853,0.11532759132421398,19.19286560058594,19.359158325195313,19.548563385009764,19.679045867919925,19.81817169189453,18.711859130859374,20.533473205566406,2,3276.7247825266236,3273.897868580793,3276.4308629219368,1.041308980389109,"[19.456666564941408, 19.54131164550781, 19.747328186035155, 19.323648071289064, 19.67986297607422, 19.672831726074218, 19.37955322265625, 19.150709533691405, 19.59070739746094, 19.632147216796874, 19.346432495117188, 20.077005004882814, 20.533473205566406, 19.603353881835936, 19.36097412109375, 19.36168975830078, 19.62388916015625, 19.496926879882814, 19.535704040527342, 19.41739501953125, 19.197732543945314, 19.37576904296875, 19.60693817138672, 19.267430114746094, 19.91541748046875, 19.543193054199218, 19.273890686035156, 19.678773498535158, 19.79309844970703, 19.632231140136717, 19.335047912597656, 19.695155334472656, 19.60540313720703, 19.848565673828126, 19.628256225585936, 19.813885498046876, 19.134054565429686, 19.52562713623047, 19.68773193359375, 19.61322937011719, 19.96697540283203, 19.119512939453124, 19.407002258300782, 19.25263366699219, 19.713349914550783, 19.19294891357422, 19.58885498046875, 19.43152618408203, 19.628445434570313, 19.553933715820314, 20.022325134277345, 19.743177795410155, 19.301890563964843, 19.599822998046875, 19.434906005859375, 19.490611267089843, 19.481805419921876, 19.817945861816405, 19.6703857421875, 19.786497497558592, 19.811366271972656, 19.395277404785155, 19.478997802734376, 19.192115783691406, 19.43090057373047, 19.665570068359376, 19.347598266601562, 19.032371520996094, 19.183871459960937, 19.3537109375, 18.711859130859374, 19.578778076171876, 19.594720458984376, 19.820204162597655, 19.0404541015625, 19.659400939941406, 19.478425598144533, 19.219667053222658, 19.924838256835937, 19.70814666748047]"
deit_small_patch16_224,ours,20,0.04,64,4,22.07296552658081,0.2851984955073264,22.142950439453124,22.11413084665934,0.15008685459174265,21.622444305419922,21.87439422607422,22.142950439453124,22.293502426147462,22.411328125,21.50348815917969,22.51319274902344,0,2899.474469025452,2890.3104026267533,2894.0771149352286,0.9197900446564249,"[21.64698944091797, 21.688934326171875, 21.648025512695312, 21.991778564453124, 22.058587646484376, 21.59925079345703, 22.164744567871093, 22.047955322265626, 22.298582458496092, 22.189450073242188, 22.503219604492188, 22.073703002929687, 22.253152465820314, 22.19622344970703, 22.069882202148438, 22.3259765625, 22.4427001953125, 22.299514770507812, 22.277325439453126, 22.344960021972657, 21.558073425292967, 21.567538452148437, 22.112139892578124, 21.66087646484375, 21.555404663085938, 21.87939910888672, 22.014523315429688, 22.40532531738281, 22.215475463867186, 22.417507934570313, 22.483497619628906, 22.073948669433594, 22.410641479492188, 22.30067138671875, 21.852413940429688, 22.160235595703124, 22.31480712890625, 22.179226684570313, 22.19232940673828, 22.305416870117188, 22.51319274902344, 21.85937957763672, 21.581211853027344, 21.50348815917969, 21.988299560546874, 21.967666625976562, 22.493275451660157, 22.28551025390625, 22.299967956542968, 22.142674255371094, 22.215171813964844, 21.893391418457032, 22.234471130371094, 21.66540069580078, 21.633229064941407, 21.90729675292969, 22.271487426757812, 22.080307006835938, 22.208377075195312, 22.086802673339843, 22.329788208007812, 22.22581787109375, 21.625021362304686, 21.824722290039062, 21.590570068359376, 22.09387664794922, 22.06376495361328, 22.424319458007812, 22.427699279785156, 22.29180908203125, 22.26703338623047, 21.59032287597656, 21.712437438964844, 22.143226623535156, 22.026243591308592, 22.39088592529297, 22.277375793457033, 21.961451721191406, 22.248454284667968, 21.711410522460938]"
deit_small_patch16_224,tome,25,0.0,64,2,19.810549640655516,0.29979505101795606,19.829241943359378,19.82979071935018,0.16096088314741874,19.430350952148437,19.599996948242186,19.829241943359378,20.07021255493164,20.15483383178711,19.009280395507812,20.543162536621093,0,3230.601934873034,3227.5565643311434,3227.4672438952134,1.0257474567867435,"[20.110694885253906, 19.59514923095703, 20.056585693359374, 19.96764221191406, 19.471769714355467, 19.701248168945312, 20.121556091308594, 19.65393981933594, 19.89442596435547, 20.088990783691408, 19.697848510742187, 20.17607727050781, 19.930316162109374, 19.388023376464844, 19.853260803222657, 19.492498779296874, 19.46076202392578, 20.08299560546875, 20.035220336914062, 19.765403747558594, 19.55809783935547, 19.320968627929688, 19.883207702636717, 20.23289337158203, 20.15247344970703, 19.998265075683594, 19.009280395507812, 20.21616973876953, 19.817727661132814, 20.112179565429688, 20.095913696289063, 19.922273254394533, 19.907546997070312, 19.97400665283203, 20.111531066894532, 19.63699951171875, 19.984281921386717, 19.768614196777342, 19.885670471191407, 20.10557403564453, 19.279925537109374, 19.797914123535158, 19.330323791503908, 19.566029357910157, 19.471978759765626, 19.48371124267578, 20.12410888671875, 19.93758544921875, 19.68573455810547, 19.86725616455078, 20.065951538085937, 19.782298278808593, 20.206436157226562, 20.543162536621093, 19.7082763671875, 20.091172790527345, 20.272280883789062, 19.665411376953124, 19.254066467285156, 19.676881408691408, 19.76072998046875, 19.804721069335937, 19.704319763183594, 19.613856506347656, 19.494195556640626, 19.320217895507813, 19.43505401611328, 19.21119384765625, 20.002053833007814, 19.532135009765625, 19.582975769042967, 19.66950378417969, 19.917518615722656, 19.946905517578124, 20.102568054199217, 20.2859375, 19.601612854003907, 20.184268188476562, 19.840756225585938, 19.784857177734374]"
deit_small_patch16_224,ours,25,0.02,64,2,22.147593650817875,0.2749788282753659,22.168817138671876,22.161442279815674,0.13663119221193615,21.752950439453123,21.947370529174805,22.168817138671876,22.3426212310791,22.49170471191406,21.536680603027342,22.639546203613282,0,2889.7044531804736,2886.9379723628417,2887.898684206591,0.9178264276379035,"[21.897067260742187, 21.874784851074217, 22.300627136230467, 22.093119812011718, 22.208460998535156, 22.27809295654297, 22.428569030761718, 22.339891052246095, 22.1412353515625, 22.48053741455078, 22.052188110351562, 21.838406372070313, 22.49866180419922, 22.474855041503908, 22.490931701660156, 22.623019409179687, 22.204225158691408, 22.56266632080078, 22.600909423828124, 22.267800903320314, 21.745254516601562, 22.02678985595703, 22.17931365966797, 22.269132995605467, 22.411418151855468, 22.091827392578125, 22.36205139160156, 22.01104736328125, 22.224333190917967, 21.863066101074217, 21.920460510253907, 22.200006103515626, 22.14819793701172, 22.398721313476564, 21.73439178466797, 22.1138427734375, 22.244659423828125, 22.274449157714844, 22.34541473388672, 21.650892639160155, 21.993336486816407, 21.555661010742188, 21.753805541992186, 22.07677459716797, 21.951182556152343, 22.075289916992187, 22.242396545410156, 21.935934448242186, 22.151774597167968, 21.846900939941406, 21.72625274658203, 22.257356262207033, 22.276502990722655, 22.15832061767578, 22.10196533203125, 21.92827606201172, 22.311045837402343, 22.555751037597656, 22.063832092285157, 21.81029510498047, 21.999612426757814, 21.68464050292969, 21.796249389648438, 21.54515838623047, 21.896743774414062, 22.40108642578125, 22.341690063476562, 22.21634521484375, 21.981901550292967, 22.14658966064453, 22.189468383789062, 22.05419464111328, 22.4583740234375, 22.639546203613282, 22.621653747558593, 22.322900390625, 22.55237731933594, 22.393202209472655, 21.536680603027342, 22.385101318359375]"
